Position X,Position Y,Position Z
419590.000,4805610.000,1460.303
419590.000,4805570.000,1471.123
419590.000,4805530.000,1471.073
419590.000,4805520.000,1471.659
419590.000,4805540.000,1471.483
419590.000,4805560.000,1470.029
419590.000,4805550.000,1470.022
419590.000,4805700.000,1460.303
419590.000,4805690.000,1460.303
419590.000,4805710.000,1460.303
419590.000,4805710.010,1460.303
419590.000,4805298.702,1511.940
419590.000,4805680.000,1460.303
419590.000,4805640.000,1460.303
419590.000,4805630.000,1460.303
419590.000,4805650.000,1460.303
419590.000,4805670.000,1460.303
419590.000,4805660.000,1460.303
419590.000,4805370.000,1499.222
419590.000,4805360.000,1501.050
419590.000,4805380.000,1497.537
419590.000,4805400.000,1494.860
419590.000,4805390.000,1496.149
419590.000,4805350.000,1503.446
419590.000,4805310.000,1510.323
419590.000,4805300.000,1511.646
419590.000,4805320.000,1508.891
419590.000,4805340.000,1506.047
419590.000,4805330.000,1507.935
419590.000,4805480.000,1485.233
419590.000,4805470.000,1486.102
419590.000,4805490.000,1482.438
419590.000,4805510.000,1473.508
419590.000,4805500.000,1477.589
419590.000,4805460.000,1486.828
419590.000,4805420.000,1492.055
419590.000,4805410.000,1493.406
419590.000,4805430.000,1490.456
419590.000,4805450.000,1487.568
419590.000,4805440.000,1488.998
419591.048,4805298.952,1512.399
419595.422,4805300.000,1514.057
419598.060,4805711.940,1460.303
419599.116,4805300.884,1515.582
419600.000,4805590.000,1469.870
419600.000,4805580.000,1471.868
419600.000,4805600.000,1467.150
419600.000,4805620.000,1460.303
419600.000,4805610.000,1460.303
419600.000,4805540.000,1474.367
419600.000,4805530.000,1475.607
419600.000,4805550.000,1473.586
419600.000,4805570.000,1473.938
419600.000,4805560.000,1474.108
419600.000,4805630.000,1460.303
419600.000,4805700.000,1460.303
419600.000,4805690.000,1460.303
419600.000,4805710.000,1460.303
419600.000,4805712.405,1460.303
419600.000,4805301.096,1516.011
419600.000,4805650.000,1460.304
419600.000,4805640.000,1460.303
419600.000,4805660.000,1460.303
419600.000,4805680.000,1460.303
419600.000,4805670.000,1460.303
419600.000,4805520.000,1477.154
419600.000,4805370.000,1503.263
419600.000,4805360.000,1504.870
419600.000,4805380.000,1501.943
419600.000,4805400.000,1500.451
419600.000,4805390.000,1500.808
